model,user_id,item_id,true_rating,pred_rating,abs_error
static_mf,0,4,2.0,3.3973255157470703,1.3973255157470703
static_mf,1,7,4.0,3.4079017639160156,0.5920982360839844
static_mf,2,10,3.0,3.4278769493103027,0.42787694931030273
static_mf,3,3,4.0,3.3914034366607666,0.6085965633392334
static_mf,4,7,5.0,3.4006447792053223,1.5993552207946777
static_mf,5,9,3.0,3.4104602336883545,0.4104602336883545
sequential,0,4,2.0,2.679558753967285,0.6795587539672852
sequential,1,7,4.0,2.989352226257324,1.0106477737426758
sequential,2,10,3.0,2.98654043674469,0.013459563255310059
sequential,3,3,4.0,2.285953998565674,1.7140460014343262
sequential,4,7,5.0,3.5498480796813965,1.4501519203186035
sequential,5,9,3.0,2.765120506286621,0.2348794937133789
bayesian_mf,0,4,2.0,3.3551833629608154,1.3551833629608154
bayesian_mf,1,7,4.0,3.3793466091156006,0.6206533908843994
bayesian_mf,2,10,3.0,3.394882917404175,0.3948829174041748
bayesian_mf,3,3,4.0,3.4157490730285645,0.5842509269714355
bayesian_mf,4,7,5.0,3.3169188499450684,1.6830811500549316
bayesian_mf,5,9,3.0,3.383566379547119,0.38356637954711914
