model,stream_step,hr10,ndcg10,precision10,recall10,rmse,mae,count,brier,ece
static_mf,5,0.6666666666666666,0.4390605548328858,0.06666666666666667,0.6666666666666666,0.964622733206588,0.8392854531606039,6,,
static_mf,10,0.6666666666666666,0.4978561567799133,0.06666666666666667,0.6666666666666666,0.964622733206588,0.8392854531606039,6,,
static_mf,15,0.6666666666666666,0.44825675340689264,0.06666666666666667,0.6666666666666666,0.964622733206588,0.8392854531606039,6,,
static_mf,18,0.6666666666666666,0.4390605548328858,0.06666666666666667,0.6666666666666666,0.964622733206588,0.8392854531606039,6,,
sequential,5,0.6666666666666666,0.5525774794642881,0.06666666666666667,0.6666666666666666,0.9290654388992916,0.8101248741149902,6,,
sequential,10,0.3333333333333333,0.3333333333333333,0.03333333333333333,0.3333333333333333,0.9957597638809247,0.8625154495239258,6,,
sequential,15,0.3333333333333333,0.2222222222222222,0.03333333333333333,0.3333333333333333,1.0819061234418073,0.9290250937143961,6,,
sequential,18,0.3333333333333333,0.2192441461309548,0.03333333333333333,0.3333333333333333,1.0471749970047515,0.8504572510719299,6,,
bayesian_mf,5,0.3333333333333333,0.2222222222222222,0.03333333333333333,0.3333333333333333,0.9525191591287645,0.8296449581782023,6,0.7510099821982644,0.11113284031550091
bayesian_mf,10,0.3333333333333333,0.3333333333333333,0.03333333333333333,0.3333333333333333,0.9517543860443864,0.8278479973475138,6,0.7499983234462162,0.11162859201431274
bayesian_mf,15,0.5,0.5,0.05000000000000001,0.5,0.9759463914271691,0.8403080701828003,6,0.7533342024687366,0.11496289571126306
bayesian_mf,18,0.3333333333333333,0.3333333333333333,0.03333333333333333,0.3333333333333333,0.9745853450036942,0.836936354637146,6,0.7514622395761364,0.11590630809466046
